Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	Turner, Trea	LAD	2B, SS	1.17	1	2		6		
2	Tatis Jr., Fernando	SD	SS, OF	2.50	1	6		6		
3	Ramirez, Jose	CLE	3B	2.83	2	3		6		
4	Soto, Juan	WAS	OF	4.33	3	6		6		
5	Bichette, Bo	TOR	SS	5.33	4	7		6		
6	Cole, Gerrit	NYY	P	5.83	4	8		6		
7	Guerrero Jr., Vladimir	TOR	1B	7.00	5	10		6		
8	Burnes, Corbin	MLW	P	8.67	6	12		6		
9	Ohtani, Shohei	LAA	P, UT	9.50	8	12		6		
10	Acuna Jr., Ronald	ATL	OF	10.33	7	17		6		
11	Harper, Bryce	PHI	OF	10.50	9	13		6		
12	Tucker, Kyle	HOU	OF	12.17	11	15		6		
13	Scherzer, Max	NYM	P	15.00	11	20		6		
14	Betts, Mookie	LAD	OF	15.17	13	19		6		
15	Robert, Luis	CWS	OF	16.33	14	19		6		
16	Buehler, Walker	LAD	P	16.50	13	21		6		
17	Woodruff, Brandon	MLW	P	17.33	10	23		6		
18	Albies, Ozzie	ATL	2B	17.50	16	23		6		
19	Trout, Mike	LAA	OF	17.67	13	22		6		
20	Devers, Rafael	BOS	3B	18.33	14	22		6		
21	Wheeler, Zack	PHI	P	19.67	16	23		6		
22	Freeman, Freddie	ATL	1B	23.67	15	29		6		
23	Machado, Manny	SD	3B	23.83	22	25		6		
24	Hendriks, Liam	CWS	P	24.67	20	28		6		
25	Hader, Josh	MLW	P	25.33	21	30		6		
26	Marte, Starling	NYM	OF	25.67	22	28		6		
27	deGrom, Jacob	NYM	P	26.17	23	32		6		
28	Merrifield, Whit	KC	2B, OF	29.50	20	37		6		
29	Bieber, Shane	CLE	P	32.17	26	42		6		
30	Alvarez, Yordan	HOU	OF	32.17	29	39		6		
31	Mullins, Cedric	BAL	OF	32.83	27	44		6		
32	Nola, Aaron	PHI	P	33.17	30	36		6		
33	Urias, Julio	LAD	P	34.17	26	41		6		
34	Iglesias, Raisel	LAA	P	34.83	28	47		6		
35	Story, Trevor	COL	SS	35.00	31	41		6		
36	Giolito, Lucas	CWS	P	36.17	31	48		6		
37	Anderson, Tim	CWS	SS	37.33	31	47		6		
38	Perez, Salvador	KC	C	37.83	35	41		6		
39	Alcantara, Sandy	MIA	P	39.17	29	44		6		
40	Hernandez, Teoscar	TOR	OF	39.33	28	48		6		
41	Clase, Emmanuel	CLE	P	40.17	35	45		6		
42	Semien, Marcus	TEX	2B, SS	40.83	34	49		6		
43	Judge, Aaron	NYY	OF	43.33	34	52		6		
44	Diaz, Edwin	NYM	P	45.17	37	50		6		
45	Bogaerts, Xander	BOS	SS	47.00	39	55		6		
46	O'Neill, Tyler	STL	OF	47.50	36	53		6		
47	Peralta, Freddy	MLW	P	47.83	45	54		6		
48	Pressly, Ryan	HOU	P	48.17	38	57		6		
49	Ray, Robbie	SEA	P	48.83	39	59		6		
50	Mondesi, Adalberto	KC	3B	50.33	39	55		6		
51	Sale, Chris	BOS	P	51.83	42	69		6		
52	Olson, Matt	OAK	1B	52.00	35	69		6		
53	Lindor, Francisco	NYM	SS	52.83	46	59		6		
54	Buxton, Byron	MIN	OF	54.33	42	73		6		
55	Realmuto, J.T.	PHI	C	54.50	50	64		6		
56	Arozarena, Randy	TB	OF	59.17	53	65		6		
57	Webb, Logan	SF	P	59.33	49	71		6		
58	Chapman, Aroldis	NYY	P	59.83	51	70		6		
59	Goldschmidt, Paul	STL	1B	60.00	51	68		6		
60	Smith, Will	LAD	C	60.33	55	64		6		
61	Baez, Javier	DET	2B, SS	61.83	46	78		6		
62	Franco, Wander	TB	SS	64.00	53	72		6		
63	Jansen, Kenley	LAD	P	64.17	45	73		6		
64	Riley, Austin	ATL	3B	64.50	56	73		6		
65	Fried, Max	ATL	P	66.00	63	70		6		
66	Alonso, Pete	NYM	1B	66.17	55	78		6		
67	Smith, Will	ATL	P	67.83	46	78		6		
68	Lynn, Lance	CWS	P	68.33	56	78		6		
69	Musgrove, Joe	SD	P	69.00	60	75		6		
70	Cease, Dylan	CWS	P	69.67	60	80		6		
71	Chisholm Jr., Jazz	MIA	2B, SS	69.83	58	85		6		
72	Gausman, Kevin	TOR	P	71.17	58	85		6		
73	Castellanos, Nick	CIN	OF	73.83	57	92		6		
74	Edman, Tommy	STL	2B, OF	75.00	67	83		6		
75	Romano, Jordan	TOR	P	75.83	52	99		6		
76	Springer, George	TOR	OF	76.17	58	90		6		
77	Lowe, Brandon	TB	2B	76.17	62	86		6		
78	Rogers, Trevor	MIA	P	79.67	61	91		6		
79	Jimenez, Eloy	CWS	OF	80.00	68	100		6		
80	Polanco, Jorge	MIN	2B, SS	80.33	74	87		6		
81	Berrios, Jose	TOR	P	80.67	69	87		6		
82	Montas, Frankie	OAK	P	81.17	75	92		6		
83	Altuve, Jose	HOU	2B	83.83	77	93		6		
84	Flaherty, Jack	STL	P	84.67	77	96		6		
85	Arenado, Nolan	STL	3B	85.17	74	95		6		
86	India, Jonathan	CIN	2B	85.67	76	94		6		
87	Witt Jr., Bobby	KC	SS	86.33	72	103		6		
88	Abreu, Jose	CWS	1B	86.50	72	96		6		
89	Gallegos, Giovanny	STL	P	88.00	80	106		6		
90	Seager, Corey	TEX	SS	88.67	66	99		6		
91	Marte, Ketel	ARZ	2B, OF	89.17	80	99		6		
92	Castillo, Luis	CIN	P	90.17	81	102		6		
93	Morton, Charlie	ATL	P	90.67	85	94		6		
94	Darvish, Yu	SD	P	92.00	83	103		6		
95	Martinez, J.D.	BOS	OF	95.50	89	102		6		
96	Reynolds, Bryan	PIT	OF	95.83	90	100		6		
97	Varsho, Daulton	ARZ	C, OF	97.83	76	116		6		
98	Manoah, Alek	TOR	P	98.50	88	113		6		
99	Bellinger, Cody	LAD	OF	99.17	89	111		6		
100	McClanahan, Shane	TB	P	101.67	96	118		6		
101	Bryant, Kris	SF	3B, OF	102.00	100	105		6		
102	Bregman, Alex	HOU	3B	103.50	91	119		6		
103	Verlander, Justin	HOU	P	105.33	86	122		6		
104	Yelich, Christian	MLW	OF	105.33	92	112		6		
105	Grandal, Yasmani	CWS	C	106.50	100	122		6		
106	Snell, Blake	SD	P	106.83	103	110		6		
107	Kimbrel, Craig	CWS	P	110.50	86	141		6		
108	Contreras, Willson	CHC	C	111.33	97	123		6		
109	Rendon, Anthony	LAA	3B	111.50	103	117		6		
110	Correa, Carlos	HOU	SS	113.00	98	127		6		
111	Mountcastle, Ryan	BAL	1B, OF	114.17	106	131		6		
112	Eovaldi, Nathan	BOS	P	115.50	109	125		6		
113	Winker, Jesse	CIN	OF	116.00	98	132		6		
114	Straw, Myles	CLE	OF	116.67	102	128		6		
115	LeMahieu, DJ	NYY	1B, 2B, 3B	118.00	101	143		6		
116	Stanton, Giancarlo	NYY	OF	119.17	107	134		6		
117	Swanson, Dansby	ATL	SS	119.50	110	131		6		
118	Baz, Shane	TB	P	120.33	109	144		6		
119	Haniger, Mitch	SEA	OF	120.83	111	131		6		
120	Melancon, Mark	ARZ	P	122.00	109	153		6		
121	Walsh, Jared	LAA	1B	123.00	104	144		6		
122	Cronenworth, Jake	SD	1B, 2B, SS	124.33	115	132		6		
123	Adames, Willy	MLW	SS	126.17	122	131		6		
124	Lopez, Pablo	MIA	P	127.00	94	148		6		
125	Manaea, Sean	OAK	P	127.17	102	149		6		
126	Gallen, Zac	ARZ	P	127.83	108	141		6		
127	Mahle, Tyler	CIN	P	128.83	117	153		6		
128	Bell, Josh	WAS	1B	130.00	123	135		6		
129	Hayes, Ke'Bryan	PIT	3B	130.00	119	134		6		
130	Grisham, Trent	SD	OF	130.67	106	143		6		
131	Knebel, Corey	PHI	P	131.00	108	164		6		
132	Cron, C.J.	COL	1B	131.00	114	146		6		
133	Rodon, Carlos	CWS	P	133.33	111	179		6		
134	Bassitt, Chris	OAK	P	134.50	112	160		6		
135	Baddoo, Akil	DET	OF	136.00	106	163		6		
136	Hoskins, Rhys	PHI	1B	139.67	129	151		6		
137	Reyes, Franmil	CLE	UT	139.67	125	152		6		
138	Rosario, Amed	CLE	SS	140.83	125	158		6		
139	Schwarber, Kyle	BOS	OF	141.50	136	159		6		
140	Doval, Camilo	SF	P	142.00	113	169		6		
141	Torres, Gleyber	NYY	SS	142.00	133	153		6		
142	Urias, Luis	MLW	2B, 3B, SS	142.17	133	153		6		
143	Valdez, Framber	HOU	P	142.17	120	164		6		
144	Taylor, Chris	LAD	2B, SS, OF	142.50	126	163		6		
145	Rodriguez, Eduardo	DET	P	142.50	124	163		6		
146	Kelenic, Jarred	SEA	OF	142.50	115	170		6		
147	Gilbert, Logan	SEA	P	145.83	129	174		6		
148	Treinen, Blake	LAD	P	145.83	118	177		6		
149	Barlow, Scott	KC	P	147.83	112	173		6		
150	Garcia, Luis	HOU	P	148.33	139	161		6		
151	Votto, Joey	CIN	1B	148.33	141	161		6		
152	Moncada, Yoan	CWS	3B	148.33	132	168		6		
153	Gurriel Jr., Lourdes	TOR	OF	151.00	132	170		6		
154	Meadows, Austin	TB	OF	153.83	145	174		6		
155	France, Ty	SEA	1B, 2B	154.50	140	185		6		
156	Rogers, Taylor	MIN	P	158.33	110	199		6		
157	Stephenson, Tyler	CIN	C, 1B	158.50	152	163		6		
158	Kopech, Michael	CWS	P	159.33	143	177		6		
159	Rosario, Eddie	ATL	OF	161.33	148	175		6		
160	Bednar, David	PIT	P	161.67	149	176		6		
161	Verdugo, Alex	BOS	OF	162.67	151	178		6		
162	Soto, Gregory	DET	P	163.33	149	181		6		
163	Ruiz, Keibert	WAS	C	163.33	150	182		6		
164	McMahon, Ryan	COL	2B, 3B	163.33	149	177		6		
165	Anderson, Ian	ATL	P	163.83	144	172		6		
166	Garcia, Avisail	MIA	OF	164.33	157	191		6		
167	Turner, Justin	LAD	3B	167.83	156	188		6		
168	Rizzo, Anthony	NYY	1B	168.33	155	187		6		
169	Renfroe, Hunter	MLW	OF	168.83	145	187		6		
170	Wong, Kolten	MLW	2B	171.00	155	188		6		
171	Muncy, Max	LAD	1B, 2B	172.17	135	210		6		
172	Gray, Sonny	CIN	P	172.50	148	201		6		
173	Skubal, Tarik	DET	P	172.83	155	193		6		
174	Grossman, Robbie	DET	OF	173.00	163	178		6		
175	Rodgers, Brendan	COL	2B, SS	174.67	158	196		6		
176	Benintendi, Andrew	KC	OF	176.67	166	190		6		
177	Carlson, Dylan	STL	OF	177.17	165	190		6		
178	Suarez, Ranger	PHI	P	179.50	154	203		6		
179	Chapman, Matt	OAK	3B	181.50	156	206		6		
180	Happ, Ian	CHC	OF	181.83	170	188		6		
181	Segura, Jean	PHI	2B	184.17	168	197		6		
182	Mancini, Trey	BAL	1B	185.50	166	209		6		
183	Conforto, Michael	NYM	OF	186.00	165	209		6		
184	Montgomery, Jordan	NYY	P	186.50	172	205		6		
185	Garcia, Adolis	TEX	OF	187.50	155	215		6		
186	Sandoval, Patrick	LAA	P	188.17	175	202		6		
187	Stroman, Marcus	CHC	P	189.50	166	211		6		
188	Kershaw, Clayton	LAD	P	189.67	136	259		6		
189	Escobar, Eduardo	NYM	2B, 3B	191.00	180	201		6		
190	Severino, Luis	NYY	P	192.33	160	224		6		
191	Kirilloff, Alex	MIN	1B, OF	192.67	177	212		6		
192	Gallo, Joey	NYY	OF	195.00	157	219		6		
193	Ryu, Hyun Jin	TOR	P	195.00	169	215		6		
194	Ozuna, Marcell	ATL	OF	197.33	174	210		6		
195	Soler, Jorge	ATL	OF	198.67	178	232		6		
196	Candelario, Jeimer	DET	3B	200.00	185	212		6		
197	Garver, Mitch	MIN	C	200.00	180	221		6		
198	Sims, Lucas	CIN	P	200.67	173	226		6		
199	Houck, Tanner	BOS	P	200.83	166	247		6		
200	Schoop, Jonathan	DET	1B, 2B	200.83	187	219		6		
201	Cruz, Nelson	TB	UT	201.00	190	242		6		
202	Suarez, Eugenio	CIN	3B, SS	202.00	192	218		6		
203	McCullers Jr., Lance	HOU	P	202.33	168	245		6		
204	Gurriel, Yuli	HOU	1B	202.83	187	225		6		
205	Donaldson, Josh	MIN	3B	206.17	191	225		6		
206	Cruz, Oneil	PIT	SS	206.50	198	231		6		
207	Floro, Dylan	MIA	P	210.17	178	224		6		
208	Suzuki, Seiya	FA	OF	211.33	192	238		6		
209	Pollock, AJ	LAD	OF	212.33	193	220		6		
210	Barlow, Joe	TEX	P	212.83	162	288		6		
211	Rojas, Josh	ARZ	2B, SS, OF	215.33	202	223		6		
212	Belt, Brandon	SF	1B	215.33	179	244		6		
213	Ryan, Joe	MIN	P	217.17	186	258		6		
214	Wood, Alex	SF	P	217.67	196	234		6		
215	Lowe, Nathaniel	TEX	1B	218.67	204	233		6		
216	Wainwright, Adam	STL	P	218.83	187	251		6		
217	Crawford, Brandon	SF	SS	219.00	194	232		6		
218	Dalbec, Bobby	BOS	1B	221.17	188	252		6		
219	Bader, Harrison	STL	OF	221.50	193	255		6		
220	McKenzie, Triston	CLE	P	222.67	204	248		6		
221	Hernandez, Enrique	BOS	2B, OF	222.83	211	251		6		
222	Laureano, Ramon	OAK	OF	223.67	185	257		6		
223	Urquidy, Jose	HOU	P	224.17	184	261		6		
224	Cobb, Alex	SF	P	224.33	198	247		6		
225	Sanchez, Jesus	MIA	OF	226.67	211	244		6		
226	Rutschman, Adley	BAL	C	227.33	213	258		6		
227	DeSclafani, Anthony	SF	P	227.67	201	240		6		
228	Lux, Gavin	LAD	2B, SS	229.33	198	251		6		
229	Vazquez, Christian	BOS	C	229.67	195	259		6		
230	Pham, Tommy	SD	OF	229.83	204	270		6		
231	Means, John	BAL	P	230.17	201	269		6		
232	Adell, Jo	LAA	OF	232.33	214	254		6		
233	Hays, Austin	BAL	OF	232.67	213	245		6		
234	Whitlock, Garrett	BOS	P	233.33	185	254		6		
235	Clevinger, Mike	SD	P	233.67	209	275		6		
236	Thomas, Lane	WAS	OF	237.17	205	259		6		
237	Blackmon, Charlie	COL	OF	238.17	228	270		6		
238	Matz, Steven	STL	P	239.00	208	262		6		
239	Gray, Jon	TEX	P	240.00	217	264		6		
240	Gimenez, Andres	CLE	2B, SS	240.50	223	273		6		
241	Trivino, Lou	OAK	P	241.50	194	291		6		
242	Schwindel, Frank	CHC	1B	241.50	227	267		6		
243	d'Arnaud, Travis	ATL	C	243.17	208	269		6		
244	Kittredge, Andrew	TB	P	244.50	196	274		6		
245	Sano, Miguel	MIN	1B	248.33	219	285		6		
246	Lopez, Nicky	KC	SS	249.00	188	305		6		
247	Diaz, Elias	COL	C	249.17	227	288		6		
248	Toro, Abraham	SEA	2B, 3B	249.50	224	268		6		
249	Villar, Jonathan	NYM	3B, SS	249.83	239	260		6		
250	Kirk, Alejandro	TOR	C	250.00	231	264		6		
251	Brantley, Michael	HOU	OF	251.50	237	272		6		
252	Duvall, Adam	ATL	OF	251.83	230	281		6		
253	Ober, Bailey	MIN	P	253.50	228	274		6		
254	Ynoa, Huascar	ATL	P	253.67	235	276		6		
255	Murphy, Sean	OAK	C	256.83	234	273		6		
256	Syndergaard, Noah	LAA	P	258.33	216	287		6		
257	Vaughn, Andrew	CWS	OF	260.83	233	279		6		
258	Marquez, German	COL	P	263.50	241	281		6		
259	Hampson, Garrett	COL	2B, OF	263.83	238	328		6		
260	Canha, Mark	NYM	OF	264.50	254	284		6		
261	Mize, Casey	DET	P	265.00	221	304		6		
262	Torkelson, Spencer	DET	1B	265.33	212	305		6		
263	Heaney, Andrew	LAD	P	265.83	237	284		6		
264	Santander, Anthony	BAL	OF	266.00	245	306		6		
265	Rasmussen, Drew	TB	P	266.83	252	285		6		
266	Narvaez, Omar	MLW	C	267.00	217	295		6		
267	Urshela, Gio	NYY	3B, SS	267.33	243	307		6		
268	Myers, Wil	SD	OF	268.50	255	293		6		
269	Ashby, Aaron	MLW	P	268.67	237	308		6		
270	Kepler, Max	MIN	OF	271.17	256	294		6		
